    INT     ,         FLOAT          ,         FLOAT          ,         FLOAT          ,         FLOAT          ,         FLOAT          ,         FLOAT          ,       INT        ,       INT        ,         FLOAT          ,         FLOAT          ,      INT       ,   BOOL   ,   BOOL   , BOOL , BOOL ,         FLOAT          ,         FLOAT          ,         FLOAT          ,         FLOAT          ,         FLOAT          ,         FLOAT          ,       INT        ,       INT        ,         FLOAT          ,         FLOAT          ,   BOOL   ,   BOOL   ,         FLOAT          ,         FLOAT          ,         FLOAT          ,         FLOAT          ,         INT         ,         FLOAT          ,         FLOAT          ,         FLOAT          ,         FLOAT          ,         FLOAT          ,         FLOAT          ,         FLOAT          ,         FLOAT          ,INT
     -      ,          Myr           ,          Myr           ,          Msol          ,          Msol          ,          Rsol          ,          Rsol          ,        -         ,        -         ,          Rsol          ,           -            ,     Count      ,  State   ,  State   ,Event ,State ,           -            ,           -            ,          Msol          ,          Msol          ,          Rsol          ,          Rsol          ,        -         ,        -         ,          Rsol          ,           -            ,  Event   ,  Event   ,           -            ,           -            ,           -            ,        Msol/Myr        ,          -          ,           -            ,           -            ,           -            ,           -            ,           -            ,           -            ,           -            ,           -            ,-
    SEED    ,        Time>MT         ,        Time<MT         ,       Mass(1)>MT       ,       Mass(2)>MT       ,      Radius(1)>MT      ,      Radius(2)>MT      ,Stellar_Type(1)>MT,Stellar_Type(2)>MT,    SemiMajorAxis>MT    ,    Eccentricity>MT     ,MT_Event_Counter,RLOF(1)>MT,RLOF(2)>MT,Merger,CEE>MT,   Radius(1)|RL>step    ,   Radius(2)|RL>step    ,       Mass(1)<MT       ,       Mass(2)<MT       ,      Radius(1)<MT      ,      Radius(2)<MT      ,Stellar_Type(1)<MT,Stellar_Type(2)<MT,    SemiMajorAxis<MT    ,    Eccentricity<MT     ,RLOF(1)<MT,RLOF(2)<MT,   Radius(1)|RL<step    ,   Radius(2)|RL<step    ,          Beta          , MassTransferRateDonor  ,MassTransferTimescale,    Zeta_Soberman(1)    ,  Zeta_Soberman_He(1)   ,     Zeta_Hurley(1)     ,   Zeta_Hurley_He(1)    ,    Zeta_Soberman(2)    ,  Zeta_Soberman_He(2)   ,     Zeta_Hurley(2)     ,   Zeta_Hurley_He(2)    ,Record_Type
  1727761728,       0.170138861411000,       0.000000000000000,       0.850000000000000,       0.850000000000000,       0.768791303857559,       0.768791303857559,                 1,                 1,       1.991196588731891,       0.000000000000000,               1,1,1,1,1,       1.018934341913539,       1.018934341913539,       0.850000000000000,       0.850000000000000,       0.768791303857559,       0.768791303857559,                 1,                 1,       1.991196588731891,       0.000000000000000,0,0,       1.018934341913539,       1.018934341913539,       0.500000000000000,179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.000000000000000,                    3,      -0.333333333333333,      -0.333333333333333,      -0.285742816137552,      -0.285742816137552,      -0.333333333333333,      -0.333333333333333,      -0.285742816137552,      -0.285742816137552,         1
  1727761729,     680.725584505878942,     510.586723094761965,       0.850000000000000,       0.850000000000000,       0.775393443454038,       0.775393443454038,                 1,                 1,       2.044954595987072,       0.000000000000000,               1,1,1,1,1,       1.000668737160454,       1.000668737160454,       0.850000000000000,       0.850000000000000,       0.775393443454038,       0.775393443454038,                 1,                 1,       2.044954595987072,       0.000000000000000,0,0,       1.000668737160454,       1.000668737160454,       0.500000000000000,179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.000000000000000,                    3,      -0.333333333333333,      -0.333333333333333,      -0.285742816137552,      -0.285742816137552,      -0.333333333333333,      -0.333333333333333,      -0.285742816137552,      -0.285742816137552,         1
  1727761730,    2722.391921439282669,    2552.253060028165692,       0.850000000000000,       0.850000000000000,       0.795981442698580,       0.795981442698580,                 1,                 1,       2.098712603242253,       0.000000000000000,               1,1,1,1,1,       1.000925720876899,       1.000925720876899,       0.850000000000000,       0.850000000000000,       0.795981442698580,       0.795981442698580,                 1,                 1,       2.098712603242253,       0.000000000000000,0,0,       1.000925720876899,       1.000925720876899,       0.500000000000000,179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.000000000000000,                    3,      -0.333333333333333,      -0.333333333333333,      -0.285742816137552,      -0.285742816137552,      -0.333333333333333,      -0.333333333333333,      -0.285742816137552,      -0.285742816137552,         1
  1727761731,    4593.919396961570783,    4423.780535550453351,       0.850000000000000,       0.850000000000000,       0.816729199629792,       0.816729199629792,                 1,                 1,       2.152470610497434,       0.000000000000000,               1,1,1,1,1,       1.001365742071496,       1.001365742071496,       0.850000000000000,       0.850000000000000,       0.816729199629792,       0.816729199629792,                 1,                 1,       2.152470610497434,       0.000000000000000,0,0,       1.001365742071496,       1.001365742071496,       0.500000000000000,179769313486231570814527423731704356798070567525844996598917476803157260780028538760589558632766878171540458953514382464234321326889464182768467546703537516986049910576551282076245490090389328944075868508455133942304583236903222948165808559332123348274797826204144723168738177180919299881250404026184124858368.000000000000000,                    3,      -0.333333333333333,      -0.333333333333333,      -0.285742816137552,      -0.285742816137552,      -0.333333333333333,      -0.333333333333333,      -0.285742816137552,      -0.285742816137552,         1
  1727761732,     181.763805676777991,      90.927321080686994,       0.898203253852041,       0.801796746147959,       0.812301578389840,       0.733246024783341,                 1,                 0,       2.084340977835757,       0.000000000000000,               1,1,0,0,0,       1.002387248612723,       0.953009863025398,       1.000000000000000,       0.700000000000000,       0.906167447691008,       0.652133778132815,                 1,                 0,       2.206228617752614,       0.000000000000000,0,0,       1.001444173842137,       0.848184586018385,       1.000000000000000,       0.027260013396769,                    2,      -0.333333333333333,      -0.333333333333333,      -0.285742816137552,      -0.285742816137552,      -0.333333333333333,      -0.333333333333333,      -0.285742816137552,      -0.285742816137552,         1
  1727761732,     318.712537988991016,     181.763805676777991,       0.896093829667569,       0.803906170332431,       0.810565565771378,       0.736003550341420,                 1,                 0,       2.083190065800439,       0.000000000000000,               2,1,0,0,0,       1.001916628825559,       0.956015653970328,       0.898203253852041,       0.801796746147959,       0.812271460226438,       0.734439020667439,                 1,                 0,       2.084340977835757,       0.000000000000000,1,0,       1.002350082535801,       0.954560416053531,       1.000000000000000,       0.000015403020889,                    1,      -0.333333333333333,      -0.333333333333333,      -0.285742816137552,      -0.285742816137552,      -0.333333333333333,      -0.333333333333333,      -0.285742816137552,      -0.285742816137552,         1
  1727761732,     456.924571450276972,     318.712537988991016,       0.893994814446174,       0.806005185553826,       0.810728797886198,       0.738500776206026,                 1,                 0,       2.082096827836033,       0.000000000000000,               3,1,0,0,0,       1.003760724259872,       0.958659888362154,       0.896093829667569,       0.803906170332431,       0.812412546022649,       0.736948618724618,                 1,                 0,       2.083190065800439,       0.000000000000000,1,0,       1.004199627641453,       0.957243229799264,       1.000000000000000,       0.000015186920913,                    1,      -0.333333333333333,      -0.333333333333333,      -0.285742816137552,      -0.285742816137552,      -0.333333333333333,      -0.333333333333333,      -0.285742816137552,      -0.285742816137552,         1
  1727761732,     596.409186602310001,     456.924571450276972,       0.891905337738266,       0.808094662261734,       0.810891850656510,       0.741022613576789,                 1,                 0,       2.081059950683043,       0.000000000000000,               4,1,0,0,0,       1.005576513926461,       0.961312727136538,       0.893994814446174,       0.806005185553826,       0.812554369878004,       0.739482049839486,                 1,                 0,       2.082096827836033,       0.000000000000000,1,0,       1.006020959087426,       0.959933695651482,       1.000000000000000,       0.000014979979732,                    1,      -0.333333333333333,      -0.333333333333333,      -0.285742816137552,      -0.285742816137552,      -0.333333333333333,      -0.333333333333333,      -0.285742816137552,      -0.285742816137552,         1
  1727761732,     737.176190660670045,     596.409186602310001,       0.889824541561782,       0.810175458438218,       0.811054673441725,       0.743570889453323,                 1,                 0,       2.080078224678907,       0.000000000000000,               5,1,0,0,0,       1.007364777260348,       0.963976359647815,       0.891905337738266,       0.808094662261734,       0.812696835002273,       0.742041167495446,                 1,                 0,       2.081059950683043,       0.000000000000000,1,0,       1.007814851708047,       0.962634075267270,       1.000000000000000,       0.000014781846004,                    1,      -0.333333333333333,      -0.333333333333333,      -0.285742816137552,      -0.285742816137552,      -0.333333333333333,      -0.333333333333333,      -0.285742816137552,      -0.285742816137552,         1
  1727761732,     879.235933878852052,     737.176190660670045,       0.887751580458175,       0.812248419541824,       0.811217216981855,       0.746147476051503,                 1,                 0,       2.079150540558304,       0.000000000000000,               6,1,0,0,0,       1.009126252979630,       0.966652990855578,       0.889824541561782,       0.810175458438218,       0.812839846787891,       0.744627870498865,                 1,                 0,       2.080078224678907,       0.000000000000000,1,0,       1.009582039313227,       0.965346645594925,       1.000000000000000,       0.000014592178309,                    1,      -0.333333333333333,      -0.333333333333333,      -0.285742816137552,      -0.285742816137552,      -0.333333333333333,      -0.333333333333333,      -0.285742816137552,      -0.285742816137552,         1
